theta3: 0.000000, omega3: 0.538460

theta1: -0.070001, omega1: -0.186813
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.472527

theta1: -0.070382, omega1: -0.274727
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.450550

theta1: -0.070764, omega1: -0.274727
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.362637

theta1: -0.071145, omega1: -0.186813
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.406593

theta1: -0.071145, omega1: -0.054947
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.406593

theta1: -0.071145, omega1: -0.032967
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.340660

theta1: -0.071145, omega1: -0.054947
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.362637

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.296703

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.318680

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.230770

theta1: -0.071145, omega1: 0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.274727

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.296703

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.230770

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.186813

theta1: -0.071145, omega1: 0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.208790

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.230770

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.252747

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.252747

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.120880

theta1: -0.071145, omega1: 0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.054947

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.120880

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.054947

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.164837

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.164837

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.164837

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: 0.054947

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.054947

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
theta3: 0.000000, omega3: -0.032967

theta1: -0.071145, omega1: -0.010990
theta2: 0.000000, omega2: 0.000000
